Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL245880,,0,329.27,0,3.34,3a,Clc1cccc(CN(C2CCOCC2)[C@H]2CCNC2)c1Cl,IC50,'=',5,nM,8.3,,,UO_0000065,25.21,0.54,4.96,33.88,FALSE,CHEMBL985545,Inhibition of [3H]NA uptake at human NET expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1155858,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3307715,
CHEMBL1813316,,0,298.26,0,4.76,"23b, enantiomer",CCN1C[C@H]2CCCC[C@@]2(c2ccc(Cl)c(Cl)c2)C1,IC50,'=',26.92,nM,7.57,,,UO_0000065,25.38,0.54,2.81,233.64,FALSE,CHEMBL1816473,Inhibition of norepinephrine reuptake at NET expressed in MDCK cells,B,BAO_0000219,cell-based format,None,None,None,MDCK,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1811752,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3308370,
CHEMBL479410,,0,388.41,0,3.93,44,CN(C)Cc1cc(NS(C)(=O)=O)ccc1Oc1ccc(C(F)(F)F)cc1,IC50,'=',700,nM,6.16,,,UO_0000065,15.85,0.32,2.22,10.5,FALSE,CHEMBL1012269,Inhibition of [3H]NA reuptake in human noradrenaline transporter expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1155050,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3307715,
CHEMBL561878,,0,336.44,0,3.84,11bb,O=C(c1ccccc1Oc1ccccc1)N(C1CCC1)[C@H]1CCNC1,Ki,'=',13,nM,7.89,,,UO_0000065,23.44,0.43,4.05,18.97,FALSE,CHEMBL1062482,Displacement of [3H]nisoxetine from human recombinant NET expressed in HEK293 cells by scintillation proximity assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1153484,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009,CHEMBL3307715,
CHEMBL559319,,0,300.45,0,3.41,12h,CC(C)c1ccccc1C(=O)N(CC1CCC1)[C@@H]1CCNC1,Ki,'=',825,nM,6.08,,,UO_0000065,20.25,0.38,2.67,18.81,FALSE,CHEMBL1062482,Displacement of [3H]nisoxetine from human recombinant NET expressed in HEK293 cells by scintillation proximity assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1153484,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009,CHEMBL3307715,
CHEMBL72,DESIPRAMINE,4,266.39,0,3.53,desipramine,CNCCCN1c2ccccc2CCc2ccccc21,Activity,,,,,,Active,,,,,,FALSE,CHEMBL948742,Inhibition of [3H]NE uptake at human NET N192D mutant expressed in african green monkey COS1 cells after 48 hrs,B,BAO_0000219,cell-based format,Homo sapiens,None,None,COS-1,None,,P23975,N192D,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1156458,1,Scientific Literature,J. Biol. Chem.,2007,CHEMBL3308351,
CHEMBL304656,,0,352.26,0,4.03,5b,COC(=O)[C@H]1C2CC[C@@H]3C[C@@H]1/C(=C/c1ccc(Cl)c(Cl)c1)CN23,Ki,'=',640,nM,6.19,,,UO_0000065,17.58,0.37,2.16,20.97,FALSE,CHEMBL752762,Compound was evaluated for inhibition of [3H]NE uptake in HEK-hNET cells expressing Human norepinephrine transporter,B,BAO_0000219,cell-based format,None,None,None,HEK-hNET,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1133189,1,Scientific Literature,J. Med. Chem.,2000,None,
CHEMBL457866,,0,460.96,0,3.96,8d,COc1ccc([C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OCCc2ccc([N+](=O)[O-])cc2)N3C)cc1.Cl,Ki,'=',330,nM,6.48,,,UO_0000065,15.27,0.29,2.52,7.91,FALSE,CHEMBL1013551,Displacement of [3H]nisoxetine from NET,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1151730,1,Scientific Literature,J. Med. Chem.,2008,None,
CHEMBL476313,,0,358.51,0,3.26,13c,CCCS(=O)(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,Ki,'=',7,nM,8.15,,,UO_0000065,22.75,0.45,4.89,16.5,FALSE,CHEMBL985551,Inhibition of [3H]nisoxetine reuptake at human NET expressed in HEK293 cells by SPA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1155858,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3307715,
CHEMBL511163,,0,255.36,0,3.28,14''i,NCC1CCC(CCc2cccc3ccccc23)O1,IC50,'=',3420,nM,5.47,,,UO_0000065,21.4,0.39,2.19,15.51,FALSE,CHEMBL1031549,Inhibition of [3H]norepinephrine reuptake at human NET expressed in HEK cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1152751,1,Scientific Literature,Bioorg. Med. Chem.,2009,CHEMBL3307715,
CHEMBL452928,,0,295.25,0,2.82,14''j,NCC1CCC(CCc2c(F)c(F)c(F)c(F)c2F)O1,IC50,'=',1541,nM,5.81,,,UO_0000065,19.69,0.4,2.99,16.49,FALSE,CHEMBL1031549,Inhibition of [3H]norepinephrine reuptake at human NET expressed in HEK cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1152751,1,Scientific Literature,Bioorg. Med. Chem.,2009,CHEMBL3307715,
CHEMBL370805,COCAINE,4,303.36,0,1.87,cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,IC50,'=',835,nM,6.08,,,UO_0000065,20.04,0.38,4.21,10.89,FALSE,CHEMBL1022177,Displacement of [3H]norepinephrine from human recombinant NET expressed in HEK293 cells by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1152805,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3307715,
CHEMBL517423,,0,301.36,0,2.76,33-I,CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc1cccc(F)c1C,IC50,'=',3,nM,8.52,,,UO_0000065,28.28,0.53,5.76,20.54,FALSE,CHEMBL963839,Inhibition of norepinephrine uptake at human NET transfected in HEK cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1152169,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3307715,
CHEMBL3287723,,0,444.52,1,5.26,72,COc1ccc(C(=O)O)cc1OCCCCOc1ccc(C(=O)CC(C)(C)C)c(O)c1C,Inhibition,'=',-4.8,%,,,,UO_0000187,,,,,FALSE,CHEMBL3291596,Binding affinity to human NET at 10 uM by radioligand displacement assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3286233,1,Scientific Literature,J. Med. Chem.,2014,None,
CHEMBL14,CARBACHOL,4,182.65,0,-0.21,CARBACHOL,C[N+](C)(C)CCOC(N)=O.[Cl-],Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL1297,FENOPROFEN,4,242.27,0,3.67,FENOPROFEN,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL558551,,0,258.23,0,0.09,(+)-THALIDOMIDE,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL291338,"3,3',4',5-TETRACHLOROSALICYLANILIDE",4,351.02,1,5.26,"3,3',4',5-TETRACHLOROSALICYLANILIDE",O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL12089,BERBERINE CHLORIDE,1,371.82,0,3.1,BERBERINE CHLORIDE,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL1308,FOMEPIZOLE,4,82.11,0,0.72,4-METHYLPYRAZOLE,Cc1cn[nH]c1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL1542,AZATHIOPRINE,4,277.27,0,1.15,AZATHIOPRINE,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL180672,,0,408.93,0,4.72,3,CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1cccc(Cl)c1C#N,IC50,'=',0.2,nM,9.7,,,UO_0000065,23.72,0.46,4.98,14.86,FALSE,CHEMBL1055307,Inhibition of NET,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1154613,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL4532229,,0,506.58,2,5.08,9i,FC(F)(F)c1cccc(N2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)c1,IC50,'=',2480,nM,5.61,,,UO_0000065,11.07,0.21,0.53,11.19,FALSE,CHEMBL4433105,Inhibition of [3H]-5-norepinephrine reuptake in human NET expressed in HEK293 cells by liquid scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4431391,1,Scientific Literature,Bioorg Med Chem,2016,CHEMBL3307715,
CHEMBL43048,MIDOMAFETAMINE,3,193.25,0,1.57,"4, (+)-MDMA",CNC(C)Cc1ccc2c(c1)OCO2,IC50,'=',1995.26,nM,5.7,,,UO_0000065,29.5,0.56,4.13,18.69,FALSE,CHEMBL2393682,Inhibition of [3H]norepinephrine uptake at human NET expressed in HEK293 cells preincubated for 10 mins prior to substrate addition measured after 4 mins by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL2390840,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,CHEMBL3307715,
CHEMBL1204009,,0,511.06,0,4.56,11,CCOC(=O)CCc1ccc(OC[C@H](O)CNC(C)(C)Cc2ccc3ccccc3c2)c(C#N)c1.Cl,IC50,'=',0.037,nM,10.43,,,UO_0000065,21.98,0.41,5.87,11.39,FALSE,CHEMBL1055307,Inhibition of NET,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1154613,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL1481,GLIMEPIRIDE,4,490.63,0,3.07,GLIMEPIRIDE,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL358967,,0,169.66,0,2.23,PCA,CC(N)Cc1ccc(Cl)cc1,IC50,'=',207,nM,6.68,,,UO_0000065,39.4,0.83,4.45,25.69,FALSE,CHEMBL1116588,Inhibition of human noradrenaline transporter,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1154253,1,Scientific Literature,Eur. J. Med. Chem.,2009,None,
CHEMBL532,ERYTHROMYCIN,4,733.94,2,1.79,ERYTHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL442,ERGOTAMINE,4,581.67,1,1.99,ERGOTAMINE,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL941,IMATINIB,4,493.62,0,4.59,IMATINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL582894,,0,310.4,0,2.82,17,CNC[C@@H](O)[C@H](c1cccc(OC)c1)n1ccc2ccccc21,IC50,'=',111,nM,6.96,,,UO_0000065,22.41,0.41,4.13,14.98,FALSE,CHEMBL1044082,Inhibition of human NET expressed in MDCK-Net6 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MDCK-Net6,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1155200,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009,None,
CHEMBL1085339,,0,349.43,0,3.03,10,CNC(C)CCN1c2ccccc2N(c2ccccc2F)S1(=O)=O,IC50,'=',5,nM,8.3,,,UO_0000065,23.76,0.47,5.27,15.77,FALSE,CHEMBL1120740,Displacement of [3H]nisoxetine from human NET expressed in MDCK-Net6 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MDCK-Net6,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1155515,1,Scientific Literature,J. Med. Chem.,2010,None,
CHEMBL510484,,0,382.51,0,2.19,23,CNS(=O)(=O)c1ccc(Oc2ccc([S+](C)[O-])cc2)c(CN(C)C)c1,IC50,'=',13,nM,7.89,,,UO_0000065,20.62,0.43,5.7,10.42,FALSE,CHEMBL987975,Inhibition of [3H]NA reuptake in human noradrenaline transporter expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1144206,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3307715,
CHEMBL2338040,,0,356.68,1,5.38,33a,Clc1cc(Cl)c(Cl)c(O[C@@H](c2ccccc2)[C@H]2CCNC2)c1,IC50,'=',50.12,nM,7.3,,,UO_0000065,20.47,0.45,1.92,34.34,FALSE,CHEMBL2343890,Inhibition of human recombinant NET expressed in HEK293 cells assessed as inhibition of [3H]NE reuptake,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL2331276,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,CHEMBL3307715,
CHEMBL1078163,,0,278.37,0,2.59,24,Cc1c(F)cccc1C(=O)N(CC(C)C)[C@H]1CCNC1,Ki,'=',69,nM,7.16,,,UO_0000065,25.73,0.49,4.57,22.14,FALSE,CHEMBL1112302,Displacement of [3H]noradrenaline from human NET receptor expressed in HEK293 cells by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1154203,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009,CHEMBL3307715,
CHEMBL576622,,0,281.83,0,4.47,1q,CCCCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,Ki,'=',3190,nM,5.5,,,UO_0000065,19.5,0.4,1.03,18.89,FALSE,CHEMBL1041760,Displacement of [125I]RTI55 from cloned human NET expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1156106,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3307715,
CHEMBL364050,,0,232.3,0,2.97,(+/-)12f,CN(C)C[C@H]1C[C@@H]1c1c[nH]c2c(F)cccc12,Inhibition,'<',50,%,,,,UO_0000187,,,,,FALSE,CHEMBL881982,Binding inhibition towards human norepinephrine transporter at 1 uM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1141089,1,Scientific Literature,J. Med. Chem.,2005,None,
CHEMBL1099134,,0,341.5,0,2.86,10b,Cn1cc(C(CN2CCNCC2)C2(O)CCCCC2)c2ccccc21,INH,'=',32,uM,,Non standard unit for type,,UO_0000064,,,,,FALSE,CHEMBL1115636,Inhibition of human NET transfected in MDCK-Net6 cells at 1 uM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MDCK-Net6,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1158540,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
CHEMBL417249,,0,369.45,1,5.25,8c,C=CCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,Ki,'=',5920,nM,5.23,,,UO_0000065,14.15,0.26,-0.02,41.92,FALSE,CHEMBL744184,Compound was evaluated for binding to Norepinephrine Transporter (NET) using [3H]desmethylimipramine as radioligand,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1130275,1,Scientific Literature,J. Med. Chem.,1997,None,
CHEMBL1909074,POLYVINYLPYRROLIDONE,0,None,None,None,POLYVINYLPYRROLIDONE,,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL374769,,0,279.86,1,5,(RR/SS)-10i,CC(C)(C)CC(c1ccc(Cl)cc1)C1CCCCN1,IC50,'=',520,nM,6.28,,,UO_0000065,22.45,0.45,1.28,52.24,FALSE,CHEMBL911129,Inhibition of [3H]NE uptake into human NET expressing HEK293 cells,B,BAO_0000219,cell-based format,None,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1139231,1,Scientific Literature,J. Med. Chem.,2007,CHEMBL3307715,
CHEMBL422,TRIFLUOPERAZINE,4,407.51,0,4.95,trifluoperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL494807,,0,351.92,0,4.61,10a,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2C#Cc2ccccc2)N3C)cc1.Cl,Ki,'=',31,nM,7.51,,,UO_0000065,23.8,0.43,2.9,231.75,FALSE,CHEMBL958093,Displacement of [3H]nisoxetine from norepinephrine transporter,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1150295,1,Scientific Literature,Bioorg. Med. Chem.,2008,None,
CHEMBL1255837,DIHYDROERGOCRISTINE MESYLATE,0,707.85,1,2.72,DIHYDROERGOCRISTINE MESYLATE,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O.CS(=O)(=O)O,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,FALSE,CHEMBL1909094,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),B,BAO_0000249,cell membrane format,None,None,None,MDCK,Membrane,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3308370,
CHEMBL370805,COCAINE,4,303.36,0,1.87,Cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,IC50,'=',6309.57,nM,5.2,,,UO_0000065,17.14,0.32,3.33,9.31,FALSE,CHEMBL2393682,Inhibition of [3H]norepinephrine uptake at human NET expressed in HEK293 cells preincubated for 10 mins prior to substrate addition measured after 4 mins by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL2390840,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,CHEMBL3307715,
CHEMBL201531,,0,266.4,0,2.63,"6, D3",[2H]C([2H])([2H])Oc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,IC50,'=',3600,nM,5.44,,,UO_0000065,20.67,0.39,2.81,16.65,FALSE,CHEMBL865923,Inhibition of reuptake of Norepinephrine,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1149431,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None,
